Id,SalePrice
1461,124093.73384611955
1462,168977.37140487344
1463,179703.14739209402
1464,189049.10757873565
1465,194940.02170093486
1466,178841.57860350865
1467,176720.62737310654
1468,170418.14406183775
1469,180029.7479313524
1470,125138.26047499893
1471,203698.714864876
1472,94457.98526502718
1473,98896.57980440604
1474,152704.15009422283
1475,112379.73719180035
1476,357342.1283252396
1477,258460.27317920962
1478,283667.25828350056
1479,290357.941085206
1480,558134.9252733279
1481,314546.30771900824
1482,203638.6528941204
1483,178841.57860350865
1484,168809.81200267613
1485,181001.17490262067
1486,193457.42071122862
1487,328516.1313745129
1488,229061.04021352547
1489,205049.74188873032
1490,221565.93898518424
1491,192177.39469600533
1492,89753.05333104523
1493,176742.9703689165
1494,299816.90581835527
1495,283267.3561416315
1496,226633.84959238378
1497,180452.94365649548
1498,163193.42196332087
1499,157087.08360835304
1500,160613.4948143998
1501,170884.7875226086
1502,159537.59185458065
1503,296770.3153738934
1504,230589.64931780926
1505,215223.8824619431
1506,180159.8756380971
1507,265036.4893116244
1508,194052.38608743288
1509,159981.89596253962
1510,151351.92798583824
1511,155377.0255080667
1512,177850.60592752357
1513,142235.59132283297
1514,172704.05245051387
1515,190965.71350623536
1516,149877.1668832042
1517,155679.61319661874
1518,133511.78885916434
1519,221151.67571127144
1520,134959.18684446823
1521,134119.0515942644
1522,169612.88387645246
1523,114049.31440165463
1524,125069.79897008606
1525,122540.96158360539
1526,121154.85959671035
1527,107621.56703438972
1528,130672.22459953089
1529,148553.92002096827
1530,177021.57139366533
1531,122383.4049252429
1532,100814.24330047262
1533,149051.706522547
1534,118339.00942603478
1535,152427.15568606078
1536,110100.45395199223
1537,69427.2052339043
1538,144867.62301286124
1539,188482.93858869607
1540,97438.85795105396
1541,135374.84518700407
1542,144854.74857822416
1543,188170.54712274173
1544,80495.21189927448
1545,94950.01232852013
1546,127518.83141115193
1547,135447.55688376425
1548,123167.10061336115
1549,109748.6229533683
1550,136706.23070545687
1551,109518.80774824877
1552,137384.8260183952
1553,140932.64906952484
1554,113989.3716586177
1555,166770.87318256535
1556,90565.25755143972
1557,99978.954343971
1558,97783.70051197664
1559,88356.37226054945
1560,137902.77358214874
1561,136497.56829944425
1562,128842.54502469576
1563,122213.04564496625
1564,167701.6499338506
